date,United States,China,Japan,Germany,South Asia,France,India,United Kingdom,Brazil,Italy,Canada,Russian Federation,Spain,"Korea, Rep.",Australia,Mexico,Turkey,Indonesia,Netherlands,Saudi Arabia,Switzerland,Poland,Sweden,Belgium,Norway,"Iran, Islamic Rep.",Nigeria,Thailand,Austria,Argentina,South Africa,United Arab Emirates,Malaysia,Colombia,Ireland,Denmark,Philippines,Singapore,Israel,"Egypt, Arab Rep.",Chile,"Hong Kong SAR, China",Finland,Czech Republic,Greece,Pakistan,Portugal,Romania,Iraq,Kazakhstan,Peru,Bangladesh,Algeria,Vietnam,New Zealand,Qatar,Hungary,Kuwait,Ukraine,Morocco,Slovak Republic,Angola,Ecuador,Puerto Rico,Sri Lanka,Myanmar,Dominican Republic,Uzbekistan,Oman,Luxembourg,Ethiopia,Croatia,Kenya,Sudan,Bulgaria,Belarus,Azerbaijan,Ghana,Slovenia,Guatemala,Tanzania,Libya,Lithuania,Tunisia,Costa Rica,Panama,Uruguay,Serbia,Cote d'Ivoire,Uganda,Lebanon,Cameroon,Paraguay,"Congo, Dem. Rep.","Macao SAR, China",Bahrain,Jordan,Latvia,Bolivia,Zambia,Cyprus,Estonia,Senegal,Nepal,El Salvador,Papua New Guinea,Afghanistan,Honduras,Trinidad and Tobago,Cambodia,Bosnia and Herzegovina,Gabon,Botswana,Georgia,Iceland,"Yemen, Rep.",Mozambique,Zimbabwe,Burkina Faso,Mali,Albania,Benin,Malta,Namibia,Jamaica,Armenia,Brunei Darussalam,Haiti,Mongolia,Mauritius,West Bank and Gaza,Madagascar,Lao PDR,Niger,Chad,Equatorial Guinea,Guinea,"Congo, Rep.",North Macedonia,Nicaragua,Rwanda,"Bahamas, The",Tajikistan,Moldova,Malawi,Kosovo,Mauritania,Kyrgyz Republic,Bermuda,Togo,Eswatini,Montenegro,Guyana,Suriname,Barbados,Maldives,Fiji,Sierra Leone,Andorra,Lesotho,Bhutan,Liberia,Burundi,Cabo Verde,"Gambia, The",Central African Republic,St. Lucia,Belize,Antigua and Barbuda,Seychelles,Timor-Leste,Comoros,Guinea-Bissau,Solomon Islands,Grenada,St. Kitts and Nevis,Vanuatu,St. Vincent and the Grenadines,Samoa,Dominica,Tonga,Sao Tome and Principe,Kiribati,Palau,Nauru,Tuvalu
1960,3170,128,796,0,190,594,149,730,247,546,294,0,225,23.3,199,148,87.2,60.6,188,0,0,0,135,119,83,65.3,61.4,15.6,91.8,116,79.1,0,11,37.6,0,94.1,28.9,5.8,18.6,15.4,29.4,0,54,0,52.2,13.6,39.9,0,0,0,27,17.9,27.4,0,0,0,0,0,0,0,0,0,10.2,13.8,0,3.3,4.4,0,0,8.5,0,0,4.4,8.3,0,0,0,7,0,6.2,0,0,0,0,3.9,2.4,13.9,0,4.3,0,0,5,2.6,15.8,0,0,0,0,3.7,4.6,0,0,4.4,2.7,0,2.3,0,2.2,3.4,0,0,2.2,0.2,0,2.1,0,0,3.8,1.3,0,0,1.7,0,0,0,0,0,5.8,0,0,0,4.2,0,2.8,2.1,0,0,1.6,0,2.7,1,1.9,0,0,0.9,0,0,0,1.5,0.6,0,0,1.5,1,0,0,0.7,0.9,0,0.2,0,0,0.6,0,0,0.9,0,0.1,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
1961,3250,93.1,892,0,198,624,154,750,272,591,303,0,251,24.9,204,155,88.2,64.1,189,0,0,0,143,125,88.2,72.8,61.5,16.5,96.9,122,82.1,0,11.9,39.5,0,100,30.5,6.2,20.7,16.2,30.9,10.7,58.1,0,59,14.4,42.1,0,0,0,29,18.9,23.7,0,0,0,0,0,0,0,0,0,10.7,14.7,5.9,3.3,4.3,0,0,8.8,0,0,4,8.3,0,0,0,7.3,0,6.4,0,0,0,0,3.9,2.7,14.2,0,4.7,0,0,5,2.8,14.1,0,0,0,0,3.8,4.7,0,0,4.5,2.7,0,2.4,0,2.3,3.9,0,0,2.5,0.2,0,2.1,0,0,4,1.4,0,0,1.8,0,0,0,0,0,5.7,0,0,0,4.3,0,2.9,2.1,0,0,1.7,0,2.9,1,2.1,0,0,0.9,0,1.2,0,1.6,0.7,0,0,1.5,1,0,0,0.7,0.9,0,0.2,0,0,0.5,0,0,0.9,0,0.1,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
1962,3440,87.9,972,0,204,666,159,758,286,628,326,0,276,25.9,207,162,93.1,65.2,202,0,0,0,149,132,90.7,79,64,17.7,99.5,121,87.2,0,12.6,41.6,0,106,32,6.7,22.8,16.8,32.2,12.2,59.8,0,59.3,15.1,44.9,0,0,0,31.9,20,19,0,0,0,0,0,0,0,0,0,11.2,15.9,6.2,3.5,5,0,0,8.9,0,0,4.4,8.8,0,0,0,7.6,0,6.6,0,0,0,0,4.2,2.9,14,0,4.8,0,0,5.2,2.9,17.1,0,0,0,0,4,4.5,0,0,4.5,2.8,0,2.6,0,2.4,4,0,0,2.7,0.2,0,2.2,0,0,4.1,1.4,0,0,1.7,0,0,0,0,0,6.1,0,0,0,4.4,0,3.2,2.2,0,0,1.8,0,3.2,1.1,2.4,0,0,0.9,0,1.2,0,1.6,0.7,0,0,1.6,1,0,0,0.7,0.9,0,0.3,0,0,0.6,0,0,0.9,0,0.1,0,0.1,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0
1963,3600,97,1050,0,215,708,168,795,289,663,343,0,303,28.2,220,175,102,63.8,209,0,0,0,157,137,94.1,84.7,69.5,19.1,104,114,93.6,0,13.6,43,0,106,34.2,7.4,25.2,18.6,34,14.2,61.8,0,66.3,16.4,47.5,0,0,0,33.3,19.9,25.6,0,0,0,0,0,0,0,0,0,11.5,17.3,6.3,4,5.3,0,0,9.3,0,0,4.8,8.6,0,0,0,7.9,0,7.3,0,0,0,0,4.4,3.2,14,0,5.5,0,0,5.4,3,18,0,0,0,0,4.2,4.7,0,0,4.6,2.8,0,2.7,0,2.5,4.2,0,0,2.9,0.2,0,2.5,0,0,4.3,1.4,0,0,1.8,0,0,0,0,0,6,0,0,0,4.3,0,3.5,2.2,0,0,1.7,0,3.5,1,2.6,0,0,0.9,0,1.2,0,1.6,0.7,0,0,1.4,1.1,0,0,0.8,0.9,0,0.3,0,0,0.6,0,0,0.9,0,0.1,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
1964,3800,115,1180,0,232,755,181,839,299,681,366,0,319,30.9,235,196,107,66,226,0,0,0,168,147,98.8,92.5,73,20.4,110,126,101,0,14.3,45.6,0,116,35.4,7.2,27.2,20.7,34.9,15.4,65,0,72.5,17.6,50.5,0,0,0,35.5,22.1,27.1,0,0,0,0,0,0,0,0,0,12.3,18.5,6.6,3.7,5.7,0,0,10,0,0,5,8.5,0,0,0,8.1,0,7.6,0,0,0,0,4.6,3.3,14.4,0,6.4,0,0,5.6,3.1,17.6,0,0,0,0,4.4,5.3,0,0,4.8,3.1,0,2.9,0,2.6,4.5,0,0,3,0.3,0,2.7,0,0,4.3,1.4,0,0,1.9,0,0,0,0,0,5.9,0,0,0,4.5,0,3.5,2.1,0,0,1.8,0,3.9,0.9,2.9,0,0,1,0,1.5,0,1.8,0.8,0,0,1.5,1.2,0,0,0.8,1,0,0.3,0,0,0.6,0,0,0.9,0,0.1,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
1965,4050,134,1250,0,230,792,176,857,308,704,389,0,339,33.2,249,210,110,66.7,246,0,0,0,174,152,104,108,76.6,22.1,114,139,107,0,15.4,47.3,0,122,37.3,7.7,29.7,21.8,35.2,17.6,68.5,0,80.3,19.4,54.3,0,0,0,37.5,22.4,28.7,0,0,0,0,0,0,0,0,0,12.7,20.3,6.7,4.1,5,0,1.4,9.9,0,0,5.1,9.1,0,0,0,8.2,0,8,0,0,0,5.1,5,3.6,14.5,0,6.2,0,0,5.7,3.3,17.7,0,0,0,0,4.6,6.1,0,0,4.8,3,7.5,3.2,0,2.9,4.6,0,0,3.2,0.3,7.3,2.9,0,0,4.5,1.5,0,0,2,0,0,0,0,0,6,0,0,0,4.5,0,3.8,2.2,0,0,1.9,0,4.3,0.9,3.2,0,0,1.1,0,1.8,0,1.9,1,0,0,1.7,1.3,0,0,0.8,1.1,0,0.3,0,0,0.6,0,0,0.9,0,0.1,0,0.1,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0
1966,4310,148,1380,0,232,833,176,870,321,746,415,0,363,37.2,255,223,123,68.6,253,0,0,0,178,157,108,121,73.3,24.6,120,138,112,0,16.6,49.8,0,125,38.9,8.5,29.6,22.9,39.2,18,70.1,0,85.5,20.6,56.5,0,0,0,40.5,23,27.4,0,0,0,0,0,0,11.9,0,0,12.7,21.8,7.1,3.9,5.6,0,1.5,10,0,0,5.9,8.7,0,0,0,7.8,0,8.4,0,0,0,5.2,5.3,3.9,15,0,7,0,0,5.9,3.4,18.9,0,0,0,0,4.9,5.8,0,0,5,3.2,8.1,3.4,0,3,4.7,0,0,3.4,0.3,7.9,3.1,0,0,4.5,1.5,0,0,2.1,0,0,6.8,0,0,6,0,0,0,4.6,0,3.8,2.1,0,0,1.9,0,4.5,1,3.5,0,0,1.2,0,1.8,0,2.2,1,0,0,1.8,1.6,0,0,0.8,1.1,0,0.3,0,0,0.7,0,0.3,0.9,0,0.1,0,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0
1967,4420,140,1530,0,247,874,190,895,336,799,428,0,379,40.5,271,236,128,69.6,266,0,0,0,184,163,115,135,61.8,26.7,124,143,120,0,17.2,51.8,0,132,41,9.6,30.5,23,40.6,18.3,71.6,0,90.4,21.7,60.7,0,0,0,42.1,22.6,29.9,0,0,0,0,0,0,13.1,0,0,13.2,23.1,7.5,3.7,5.8,0,2.5,10,0,0,6.1,8.9,0,0,0,8.1,0,8.7,0,0,0,5.2,5.6,4.2,14.4,0,7.3,0,0,5.3,3.7,18.8,0,0,0,0,5.3,6.3,0,0,4.9,3.2,8.5,3.5,0,3.2,4.8,0,0,3.5,0.3,8.4,3.1,0,0,4.9,1.6,1.9,0,2.1,0,0,6.9,0,0,5.9,0,0,0,4.8,0,3.8,2.1,0,0,1.9,0,4.8,1.1,3.8,0,0,1.3,0,1.8,0,2.5,1.1,0,0,1.8,1.8,0,0,0.9,1.1,0,0.3,0,0,0.8,0,0.3,1,0,0.1,0,0.2,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
1968,4630,134,1730,0,257,914,196,943,375,852,449,0,404,45.9,285,258,137,77.1,283,76.8,0,0,190,170,117,155,61,28.9,129,150,125,0,18.6,54.9,0,139,43,10.9,35.5,22.7,42.1,18.9,73.3,0,96.9,23.2,66.1,0,13.5,0,42.2,24.7,33.2,0,0,0,0,0,0,14.4,0,0,13.5,24.3,7.9,4.1,5.8,0,4.6,10.5,0,0,6.6,9,0,0,0,8.1,0,9.5,0,0,0,5.8,6.1,4.5,14.7,0,8.2,0,0,5.6,3.9,19.6,0,0,0,0,5.7,6.3,0,0,5.2,3.2,8.8,3.7,0,3.4,5.1,0,0,3.6,0.3,8.8,2.9,0,0,5,1.7,2,0,2.2,0,0,7.3,0,0,6.1,0,0,0,5.1,0,3.8,2.1,0,0,2.1,0,4.8,1.1,4.2,0,0,1.3,0,2,0,2.5,1.2,0,0,1.9,1.9,0,0,1,1.1,0,0.3,0,0,0.8,0,0.3,1,0,0.1,0,0.2,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
1969,4770,157,1940,0,273,979,209,961,411,904,472,0,440,52.5,305,267,143,82.4,301,81.4,0,0,200,181,123,180,75.7,30.8,137,164,131,0,19.5,58.2,0,148,45,12.4,40.3,23.9,43.7,21,80.3,0,108,24.5,67.5,0,13.9,0,43.6,25,36,0,0,0,0,0,0,15.7,0,0,14.1,26.6,8.6,4.3,6.5,0,5.8,11.5,0,0,7.1,9.2,0,0,0,8.6,0,9.9,0,0,0,6.1,6.5,4.9,15.6,0,9,0,0,5.9,4,21.4,0,0,0,0,6,6.3,0,0,4.9,3.3,9.1,4,0,3.4,5.2,0,0,3.9,0.4,9.2,3,0,0,5.6,1.7,2,0,2.3,0,0,7.7,0,0,6.3,0,0,0,5.3,0,3.6,2.3,0,0,2.2,0,5.1,1.3,4.5,0,0,1.4,0,2.1,0,2.6,1.3,0,0,2,2,0,0,1,1.2,0,0.4,0,0,0.8,0,0.3,1.1,0,0.2,0,0.2,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
